Abide 	Obedecer
Arise 	Levantar
Awake 	Acordar
Be 	Ser, Estar
Bear 	Tolerar
Beat 	Vencer, Bater
Become 	Tornar-se
Befall 	Suceder, sobrevir
Beget 	Causar, gerar
Begin 	Começar, iniciar
Behold 	Contemplar
Bend 	Curvar-se
Bereave 	Perder, Cancelar
Beseech 	Suplicar, Rogar
Beset 	Importunar
Bet 	Apostar
Betake 	Entregar-se
Bethink 	Refletir
Bid 	Oferecer, Leiloar
Bind 	Atar, Amarrar
Bite 	Morder
Bleed 	Sangrar
Blow 	Soprar
Break 	Quebrar
Breed 	Procriar, Gerar
Bring 	Trazer
Broadcast 	Transmitir
Browbeat 	Amedrontar
Build 	Construir
Burn 	Queimar
Burst 	Explodir
Bust 	Proibir, Rebaixar
Buy 	Comprar
Cast 	Arremessar
Catch 	Pegar, Apanhar
Chide 	Reprovar
Choose 	Escolher
Cling 	Aderir
Clothe 	Vestir, Cobrir
Come 	Vir
Cost 	Custar
Creep 	Arrepiar, Rastejar
Cut 	Cortar
Dare 	Ousar
Deal 	Lidar, Negociar
Dig 	Cavar
Dive 	Mergulhar
Do 	Fazer
Draw 	Desenhar
Dream 	Sonhar
Drink 	Beber
Drive 	Dirigir
Dwell 	Enfatizar, Residir
Eat 	Comer
Fall 	Cair
Feed 	Alimentar
Feel 	Sentir
Fight 	Lutar, Brigar
Find 	Achar, Encontrar
Fit 	Encaixar, caber
Flee 	Fugir, Escapar
Fling 	Lançar, Atirar
Fly 	Voar
Forbear 	Abster-se
Forbid 	Proibir
Forecast 	Prever (clima)
Forego 	Anteceder
Foreknow 	Saber (antes)
Forerun 	Preceder
Foresee 	Prever
Foretell 	Prognosticar
Forget 	Esquecer
Forgive 	Perdoar
Forsake 	Abandonar
Forswear 	Renegar, Abjurar
Freeze 	Congelar
Gainsay 	Negar, Objetar
Get 	Conseguir, obter
Gild 	Dourar
Give 	Dar
Go 	Ir
Grind 	Triturar, Afiar
Grow 	Crescer, Criar
Hamstring 	Cortar o tendão
Hang 	Pendurar
Have 	Ter
Hear 	Ouvir
Heave 	Elevar, Puxar
Hew 	Talhar, reduzir
Hide 	Esconder
Hit 	Bater, Chocar-se
Hold 	Segurar
Hurt 	Machucar, doer
Inbreed 	Cruzar (animais)
Inlay 	Enquadrar
Input 	Inserir (dados)
Interbreed 	Produzir híbridos
Interweave 	Trançar, mesclar
Keep 	Manter, Guardar
Kneel 	Ajoelhar-se
Knit 	Tricotar
Know 	Saber, Conhecer
Lade 	Carregar, Imergir
Lay 	Por, colocar
Lead 	Liderar, levar
Lean 	Apoiar-se
Leap 	Saltar, Pular
Learn 	Aprender
Leave 	Partir, Deixar
Lend 	Emprestar
Let 	Deixar, Permitir
Lie 	Deitar
Light 	Acender
Lose 	Perder
Make 	Fazer
Mean 	Significar
Meet 	Encontrar
Melt 	Derreter
Miscast 	Enganar-se
Misdeal 	Mal dividir
Misgive 	Trazer dúvidas
Mishear 	Mal escutar
Mislay 	Perder
Mislead 	Iludir, enganar
Misread 	Ler errado
Misspell 	Errar (ortografia)
Misspend 	Esbanjar
Mistake 	Errar
Misunderstand 	Mal entender
Mow 	Cortar (grama)
Outbid 	Oferecer > preço
Outdo 	Ultrapassar
