Obedecer 	Abide	Abode/Abided	Abode/Abided/Abidden
Levantar 	Arise	Arose	Arisen
Acordar 	Awake	Awoke	Awoken
Ser 	Be	Was/Were	Been
Estar 	Be	Was/Were	Been
Tolerar 	Bear	Bore	Born/Borne
Vencer 	Beat	Beat	Beaten
Bater 	Beat	Beat	Beaten
Tornar-se 	Become	Became	Become
Tornar 	Become	Became	Become
Suceder 	Befall	Befell	Befallen
Sobrevir 	Befall	Befell	Befallen
Causar 	Beget	Begot/Begat	Begotten
Gerar 	Beget	Begot/Begat	Begotten
Começar 	Begin	Began	Begun
Iniciar 	Begin	Began	Begun
Contemplar 	Behold	Beheld	Beheld
Curvar-se 	Bend	Bent	Bent
Perder 	Bereave	Bereft	Bereft/Bereaved
Cancelar 	Bereave	Bereft	Bereft/Bereaved
Suplicar 	Beseech	Besought	Besought
Rogar 	Beseech	Besought	Besought
Importunar 	Beset	Beset	Beset
Apostar 	Bet	Bet	Bet
Entregar-se 	Betake	Betook	Betaken
Refletir 	Bethink	Bethought	Bethought
Oferecer 	Bid	Bid	Bid
Leiloar 	Bid	Bid	Bid
Atar 	Bind	Bound	Bound
Amarrar 	Bind	Bound	Bound
Morder 	Bite	Bit	Bitten
Sangrar 	Bleed	Bled	Bled
Soprar 	Blow	Blew	Blown
Quebrar 	Break	Broke	Broken
Procriar 	Breed	Bred	Bred
Gerar 	Breed	Bred	Bred
Trazer 	Bring	Brought	Brought
Transmitir 	Broadcast	Broadcast/Broadcasted	Broadcast/Broadcasted
Amedrontar 	Browbeat	Browbeat	Browbeat/Browbeaten
Construir 	Build	Built	Built
Queimar 	Burn	Burnt/Burned	Burnt/Burned
Explodir 	Burst	Burst	Burst
Proibir 	Bust	Bust	Bust
Rebaixar 	Bust	Bust	Bust
Comprar 	Buy	Bought	Bought
Arremessar 	Cast	Cast	Cast
Pegar 	Catch	Caught	Caught
Apanhar 	Catch	Caught	Caught
Reprovar 	Chide	Chid	Chidden/Chid
Escolher 	Choose	Chose	Chosen
Aderir 	Cling	Clung	Clung
Vestir 	Clothe	Clad/Clothed	Clad/Clothed
Cobrir 	Clothe	Clad/Clothed	Clad/Clothed
Vir 	Come	Came	Come
Custar 	Cost	Cost	Cost
Arrepiar 	Creep	Crept	Crept
Rastejar 	Creep	Crept	Crept
Cortar 	Cut	Cut	Cut
Ousar 	Dare	Dared/Durst	Dared
Lidar 	Deal	Dealt	Dealt
Negociar 	Deal	Dealt	Dealt
Cavar 	Dig	Dug	Dug
Mergulhar 	Dive	Dived/Dove	Dived
Fazer 	Do	Did	Done
Desenhar 	Draw	Drew	Drawn
Sonhar 	Dream	Dreamt/Dreamed	Dreamt/Dreamed
Beber 	Drink	Drank	Drunk
Dirigir 	Drive	Drove	Driven
Enfatizar 	Dwell	Dwelt	Dwelt
Residir 	Dwell	Dwelt	Dwelt
Comer 	Eat	Ate	Eaten
Cair 	Fall	Fell	Fallen
Alimentar 	Feed	Fed	Fed
Sentir 	Feel	Felt	Felt
Lutar 	Fight	Fought	Fought
Brigar 	Fight	Fought	Fought
Achar 	Find	Found	Found
Encontrar 	Find	Found	Found
Encaixar 	Fit	Fit/Fitted	Fit/Fitted
Caber 	Fit	Fit/Fitted	Fit/Fitted
Fugir 	Flee	Fled	Fled
Escapar 	Flee	Fled	Fled
Lançar 	Fling	Flung	Flung
Atirar 	Fling	Flung	Flung
Voar 	Fly	Flew	Flown
Abster-se 	Forbear	Forbore	Forborne
Proibir 	Forbid	Forbade/Forbad	Forbidden
Prever 	Forecast	Forecast/Forecasted	Forecast/Forecasted
Anteceder 	Forego	Forewent	Foregone
Saber 	Foreknow	Foreknew	Foreknown
Preceder 	Forerun	Foreran	Forerun
Prever 	Foresee	Foresaw	Foreseen
Prognosticar 	Foretell	Foretold	Foretold
Esquecer 	Forget	Forgot	Forgotten
Perdoar 	Forgive	Forgave	Forgiven
Abandonar 	Forsake	Forsook	Forsaken
Renegar 	Forswear	Forswore	Forsworn
Abjurar 	Forswear	Forswore	Forsworn
Congelar 	Freeze	Froze	Frozen
Negar 	Gainsay	Gainsaid	Gainsaid
Objetar 	Gainsay	Gainsaid	Gainsaid
Conseguir 	Get	Got	Got
Obter 	Get	Got	Got
Comprar 	Get	Got	Got
Chegar 	Get	Got	Got
Dourar 	Gild	Gilded/Gilt	Gilded/Gilt
Dar 	Give	Gave	Given
Ir 	Go	Went	Gone
Triturar 	Grind	Ground	Ground
Afiar 	Grind	Ground	Ground
Crescer 	Grow	Grew	Grown
Criar 	Grow	Grew	Grown
Cortar 	Hamstring	Hamstrung/Hamstringed	Hamstrung/Hamstringed
Pendurar 	Hang	Hung/Hanged	Hung/Hanged
Ter 	Have	Had	Had
Ouvir 	Hear	Heard	Heard
Elevar 	Heave	Heaved/Hove	Heaved/Hove
Puxar 	Heave	Heaved/Hove	Heaved/Hove
